id,resident_name,nric,phone_number,last_update_dt
rid_150,resident_name_150,S000150H,90000150,2021-04-01T16:59:09.761+08:00
rid_151,resident_name_151,S000151K,80000151,2021-04-01T16:59:09.763+08:00
rid_152,resident_name_152,S000152C,90000152,2021-04-01T16:59:09.765+08:00
rid_153,resident_name_153,F000153J,90000153,2021-04-01T16:59:09.767+08:00
rid_154,resident_name_154,F000154V,90000154,2021-04-01T16:59:09.770+08:00
rid_155,resident_name_155,F000155U,80000155,2021-04-01T16:59:09.772+08:00
rid_156,resident_name_156,F000156D,80000156,2021-04-01T16:59:09.774+08:00
rid_157,resident_name_157,F000157Y,80000157,2021-04-01T16:59:09.776+08:00
rid_158,resident_name_158,F000158O,80000158,2021-04-01T16:59:09.778+08:00
rid_159,resident_name_159,F000159I,90000159,2021-04-01T16:59:09.780+08:00
rid_160,resident_name_160,F000160J,90000160,2021-04-01T16:59:09.782+08:00
rid_161,resident_name_161,S000161Q,90000161,2021-04-01T16:59:09.785+08:00
rid_162,resident_name_162,S000162L,90000162,2021-04-01T16:59:09.787+08:00
rid_163,resident_name_163,S000163A,90000163,2021-04-01T16:59:09.789+08:00
rid_164,resident_name_164,F000164L,90000164,2021-04-01T16:59:09.791+08:00
rid_165,resident_name_165,S000165N,90000165,2021-04-01T16:59:09.793+08:00
rid_166,resident_name_166,S000166H,90000166,2021-04-01T16:59:09.795+08:00
rid_167,resident_name_167,S000167K,90000167,2021-04-01T16:59:09.797+08:00
rid_168,resident_name_168,F000168N,90000168,2021-04-01T16:59:09.799+08:00
rid_169,resident_name_169,S000169L,80000169,2021-04-01T16:59:09.802+08:00
rid_170,resident_name_170,S000170S,80000170,2021-04-01T16:59:09.804+08:00
rid_171,resident_name_171,S000171Q,80000171,2021-04-01T16:59:09.806+08:00
rid_172,resident_name_172,S000172Y,80000172,2021-04-01T16:59:09.808+08:00
rid_173,resident_name_173,S000173C,90000173,2021-04-01T16:59:09.810+08:00
rid_174,resident_name_174,S000174I,90000174,2021-04-01T16:59:09.812+08:00
rid_175,resident_name_175,S000175W,80000175,2021-04-01T16:59:09.814+08:00
rid_176,resident_name_176,S000176M,80000176,2021-04-01T16:59:09.816+08:00
rid_177,resident_name_177,F000177I,90000177,2021-04-01T16:59:09.819+08:00
rid_178,resident_name_178,F000178W,90000178,2021-04-01T16:59:09.821+08:00
rid_179,resident_name_179,S000179P,90000179,2021-04-01T16:59:09.823+08:00
rid_180,resident_name_180,F000180X,90000180,2021-04-01T16:59:09.825+08:00
rid_181,resident_name_181,F000181J,90000181,2021-04-01T16:59:09.827+08:00
rid_182,resident_name_182,S000182R,90000182,2021-04-01T16:59:09.829+08:00
rid_183,resident_name_183,S000183I,80000183,2021-04-01T16:59:09.831+08:00
rid_184,resident_name_184,S000184K,80000184,2021-04-01T16:59:09.833+08:00
rid_185,resident_name_185,S000185B,80000185,2021-04-01T16:59:09.836+08:00
rid_186,resident_name_186,S000186C,90000186,2021-04-01T16:59:09.838+08:00
rid_187,resident_name_187,F000187L,90000187,2021-04-01T16:59:09.840+08:00
rid_188,resident_name_188,F000188H,90000188,2021-04-01T16:59:09.842+08:00
rid_189,resident_name_189,F000189X,80000189,2021-04-01T16:59:09.844+08:00
rid_190,resident_name_190,S000190F,80000190,2021-04-01T16:59:09.846+08:00
rid_191,resident_name_191,F000191Q,80000191,2021-04-01T16:59:09.848+08:00
rid_192,resident_name_192,S000192N,80000192,2021-04-01T16:59:09.851+08:00
rid_193,resident_name_193,F000193M,90000193,2021-04-01T16:59:09.853+08:00
rid_194,resident_name_194,F000194U,90000194,2021-04-01T16:59:09.855+08:00
rid_195,resident_name_195,S000195E,90000195,2021-04-01T16:59:09.857+08:00
rid_196,resident_name_196,S000196Q,80000196,2021-04-01T16:59:09.859+08:00
rid_197,resident_name_197,S000197F,90000197,2021-04-01T16:59:09.861+08:00
rid_198,resident_name_198,F000198B,80000198,2021-04-01T16:59:09.863+08:00
rid_199,resident_name_199,F000199K,90000199,2021-04-01T16:59:09.865+08:00
rid_200,resident_name_200,F000200D,90000200,2021-04-01T16:59:09.868+08:00
rid_201,resident_name_201,S000201X,90000201,2021-04-01T16:59:09.870+08:00
rid_202,resident_name_202,S000202B,80000202,2021-04-01T16:59:09.872+08:00
rid_203,resident_name_203,F000203N,80000203,2021-04-01T16:59:09.874+08:00
rid_204,resident_name_204,S000204H,90000204,2021-04-01T16:59:09.876+08:00
rid_205,resident_name_205,S000205C,80000205,2021-04-01T16:59:09.878+08:00
rid_206,resident_name_206,S000206E,90000206,2021-04-01T16:59:09.880+08:00
rid_207,resident_name_207,F000207K,80000207,2021-04-01T16:59:09.883+08:00
rid_208,resident_name_208,F000208I,80000208,2021-04-01T16:59:09.885+08:00
rid_209,resident_name_209,F000209U,90000209,2021-04-01T16:59:09.887+08:00
rid_210,resident_name_210,S000210Z,90000210,2021-04-01T16:59:09.889+08:00
rid_211,resident_name_211,F000211M,80000211,2021-04-01T16:59:09.891+08:00
rid_212,resident_name_212,S000212Y,80000212,2021-04-01T16:59:09.893+08:00
rid_213,resident_name_213,S000213F,90000213,2021-04-01T16:59:09.895+08:00
rid_214,resident_name_214,S000214E,80000214,2021-04-01T16:59:09.898+08:00
rid_215,resident_name_215,F000215H,90000215,2021-04-01T16:59:09.900+08:00
rid_216,resident_name_216,F000216J,90000216,2021-04-01T16:59:09.902+08:00
rid_217,resident_name_217,F000217U,80000217,2021-04-01T16:59:09.904+08:00
rid_218,resident_name_218,S000218Y,80000218,2021-04-01T16:59:09.907+08:00
rid_219,resident_name_219,F000219U,90000219,2021-04-01T16:59:09.909+08:00
rid_220,resident_name_220,F000220Q,80000220,2021-04-01T16:59:09.911+08:00
rid_221,resident_name_221,F000221T,90000221,2021-04-01T16:59:09.913+08:00
rid_222,resident_name_222,F000222Z,80000222,2021-04-01T16:59:09.915+08:00
rid_223,resident_name_223,S000223F,80000223,2021-04-01T16:59:09.917+08:00
rid_224,resident_name_224,S000224B,90000224,2021-04-01T16:59:09.919+08:00
rid_225,resident_name_225,S000225C,80000225,2021-04-01T16:59:09.922+08:00
rid_226,resident_name_226,S000226C,90000226,2021-04-01T16:59:09.924+08:00
rid_227,resident_name_227,F000227N,80000227,2021-04-01T16:59:09.926+08:00
rid_228,resident_name_228,S000228R,90000228,2021-04-01T16:59:09.928+08:00
rid_229,resident_name_229,S000229V,80000229,2021-04-01T16:59:09.930+08:00
rid_230,resident_name_230,S000230B,80000230,2021-04-01T16:59:09.932+08:00
rid_231,resident_name_231,F000231Z,80000231,2021-04-01T16:59:09.934+08:00
rid_232,resident_name_232,F000232N,90000232,2021-04-01T16:59:09.937+08:00
rid_233,resident_name_233,F000233Q,90000233,2021-04-01T16:59:09.939+08:00
rid_234,resident_name_234,F000234Q,80000234,2021-04-01T16:59:09.941+08:00
rid_235,resident_name_235,S000235X,80000235,2021-04-01T16:59:09.944+08:00
rid_236,resident_name_236,S000236K,80000236,2021-04-01T16:59:09.946+08:00
rid_237,resident_name_237,F000237B,90000237,2021-04-01T16:59:09.948+08:00
rid_238,resident_name_238,S000238F,90000238,2021-04-01T16:59:09.950+08:00
rid_239,resident_name_239,F000239M,90000239,2021-04-01T16:59:09.953+08:00
rid_240,resident_name_240,S000240U,90000240,2021-04-01T16:59:09.955+08:00
rid_241,resident_name_241,S000241A,90000241,2021-04-01T16:59:09.957+08:00
rid_242,resident_name_242,S000242W,80000242,2021-04-01T16:59:09.959+08:00
rid_243,resident_name_243,S000243O,80000243,2021-04-01T16:59:09.961+08:00
rid_244,resident_name_244,S000244S,90000244,2021-04-01T16:59:09.964+08:00
rid_245,resident_name_245,F000245E,80000245,2021-04-01T16:59:09.966+08:00
rid_246,resident_name_246,S000246Y,80000246,2021-04-01T16:59:09.968+08:00
rid_247,resident_name_247,S000247E,90000247,2021-04-01T16:59:09.970+08:00
rid_248,resident_name_248,S000248Q,80000248,2021-04-01T16:59:09.972+08:00
rid_249,resident_name_249,S000249M,80000249,2021-04-01T16:59:09.974+08:00
rid_250,resident_name_250,S000250M,80000250,2021-04-01T16:59:09.976+08:00
rid_251,resident_name_251,F000251V,90000251,2021-04-01T16:59:09.979+08:00
rid_252,resident_name_252,F000252F,80000252,2021-04-01T16:59:09.981+08:00
rid_253,resident_name_253,S000253Y,80000253,2021-04-01T16:59:09.983+08:00
rid_254,resident_name_254,F000254H,90000254,2021-04-01T16:59:09.985+08:00
rid_255,resident_name_255,F000255G,90000255,2021-04-01T16:59:09.987+08:00
rid_256,resident_name_256,S000256W,80000256,2021-04-01T16:59:09.989+08:00
rid_257,resident_name_257,S000257H,80000257,2021-04-01T16:59:09.992+08:00
rid_258,resident_name_258,S000258S,80000258,2021-04-01T16:59:09.995+08:00
rid_259,resident_name_259,S000259W,90000259,2021-04-01T16:59:09.997+08:00
rid_260,resident_name_260,F000260S,80000260,2021-04-01T16:59:09.999+08:00
rid_261,resident_name_261,F000261A,90000261,2021-04-01T16:59:10.001+08:00
rid_262,resident_name_262,F000262V,80000262,2021-04-01T16:59:10.003+08:00
rid_263,resident_name_263,F000263J,80000263,2021-04-01T16:59:10.005+08:00
rid_264,resident_name_264,S000264W,80000264,2021-04-01T16:59:10.007+08:00
rid_265,resident_name_265,S000265C,80000265,2021-04-01T16:59:10.009+08:00
rid_266,resident_name_266,S000266G,90000266,2021-04-01T16:59:10.012+08:00
rid_267,resident_name_267,F000267M,90000267,2021-04-01T16:59:10.014+08:00
rid_268,resident_name_268,F000268B,90000268,2021-04-01T16:59:10.016+08:00
rid_269,resident_name_269,S000269N,90000269,2021-04-01T16:59:10.018+08:00
rid_270,resident_name_270,F000270N,80000270,2021-04-01T16:59:10.020+08:00
rid_271,resident_name_271,S000271Y,90000271,2021-04-01T16:59:10.022+08:00
rid_272,resident_name_272,S000272D,80000272,2021-04-01T16:59:10.025+08:00
rid_273,resident_name_273,S000273E,90000273,2021-04-01T16:59:10.027+08:00
rid_274,resident_name_274,F000274Y,90000274,2021-04-01T16:59:10.029+08:00
rid_275,resident_name_275,F000275B,90000275,2021-04-01T16:59:10.031+08:00
rid_276,resident_name_276,S000276Q,80000276,2021-04-01T16:59:10.033+08:00
rid_277,resident_name_277,S000277L,90000277,2021-04-01T16:59:10.035+08:00
rid_278,resident_name_278,F000278E,80000278,2021-04-01T16:59:10.037+08:00
rid_279,resident_name_279,F000279I,90000279,2021-04-01T16:59:10.039+08:00
rid_280,resident_name_280,S000280W,90000280,2021-04-01T16:59:10.041+08:00
rid_281,resident_name_281,S000281U,90000281,2021-04-01T16:59:10.043+08:00
rid_282,resident_name_282,S000282H,80000282,2021-04-01T16:59:10.046+08:00
rid_283,resident_name_283,F000283V,90000283,2021-04-01T16:59:10.048+08:00
rid_284,resident_name_284,S000284Z,80000284,2021-04-01T16:59:10.050+08:00
rid_285,resident_name_285,S000285H,80000285,2021-04-01T16:59:10.052+08:00
rid_286,resident_name_286,S000286C,80000286,2021-04-01T16:59:10.054+08:00
rid_287,resident_name_287,F000287B,90000287,2021-04-01T16:59:10.057+08:00
rid_288,resident_name_288,S000288R,80000288,2021-04-01T16:59:10.059+08:00
rid_289,resident_name_289,F000289F,90000289,2021-04-01T16:59:10.061+08:00
rid_290,resident_name_290,S000290V,90000290,2021-04-01T16:59:10.063+08:00
rid_291,resident_name_291,S000291D,80000291,2021-04-01T16:59:10.065+08:00
rid_292,resident_name_292,F000292M,80000292,2021-04-01T16:59:10.067+08:00
rid_293,resident_name_293,F000293X,90000293,2021-04-01T16:59:10.069+08:00
rid_294,resident_name_294,F000294Q,80000294,2021-04-01T16:59:10.071+08:00
rid_295,resident_name_295,S000295F,90000295,2021-04-01T16:59:10.074+08:00
rid_296,resident_name_296,F000296K,80000296,2021-04-01T16:59:10.076+08:00
rid_297,resident_name_297,S000297G,80000297,2021-04-01T16:59:10.078+08:00
rid_298,resident_name_298,F000298C,80000298,2021-04-01T16:59:10.080+08:00
rid_299,resident_name_299,F000299O,90000299,2021-04-01T16:59:10.082+08:00
rid_300,resident_name_300,F000300N,80000300,2021-04-01T16:59:10.084+08:00
rid_301,resident_name_301,F000301F,80000301,2021-04-01T16:59:10.087+08:00
rid_302,resident_name_302,F000302V,80000302,2021-04-01T16:59:10.089+08:00
rid_303,resident_name_303,S000303L,80000303,2021-04-01T16:59:10.091+08:00
rid_304,resident_name_304,S000304E,90000304,2021-04-01T16:59:10.093+08:00
rid_305,resident_name_305,S000305S,90000305,2021-04-01T16:59:10.095+08:00
rid_306,resident_name_306,F000306E,80000306,2021-04-01T16:59:10.097+08:00
rid_307,resident_name_307,S000307M,80000307,2021-04-01T16:59:10.099+08:00
rid_308,resident_name_308,F000308U,80000308,2021-04-01T16:59:10.101+08:00
rid_309,resident_name_309,S000309D,90000309,2021-04-01T16:59:10.103+08:00
rid_310,resident_name_310,S000310H,80000310,2021-04-01T16:59:10.106+08:00
rid_311,resident_name_311,S000311X,80000311,2021-04-01T16:59:10.108+08:00
rid_312,resident_name_312,F000312D,90000312,2021-04-01T16:59:10.110+08:00
rid_313,resident_name_313,S000313L,90000313,2021-04-01T16:59:10.112+08:00
rid_314,resident_name_314,F000314O,90000314,2021-04-01T16:59:10.114+08:00
rid_315,resident_name_315,S000315B,90000315,2021-04-01T16:59:10.116+08:00
rid_316,resident_name_316,S000316Q,80000316,2021-04-01T16:59:10.119+08:00
rid_317,resident_name_317,F000317F,90000317,2021-04-01T16:59:10.121+08:00
rid_318,resident_name_318,S000318P,80000318,2021-04-01T16:59:10.123+08:00
rid_319,resident_name_319,S000319R,90000319,2021-04-01T16:59:10.125+08:00
rid_320,resident_name_320,S000320X,80000320,2021-04-01T16:59:10.127+08:00
rid_321,resident_name_321,S000321Q,80000321,2021-04-01T16:59:10.129+08:00
rid_322,resident_name_322,F000322D,90000322,2021-04-01T16:59:10.131+08:00
rid_323,resident_name_323,F000323Z,90000323,2021-04-01T16:59:10.133+08:00
rid_324,resident_name_324,S000324W,80000324,2021-04-01T16:59:10.136+08:00
rid_325,resident_name_325,F000325V,90000325,2021-04-01T16:59:10.138+08:00
rid_326,resident_name_326,F000326Z,90000326,2021-04-01T16:59:10.140+08:00
rid_327,resident_name_327,F000327T,90000327,2021-04-01T16:59:10.142+08:00
rid_328,resident_name_328,S000328X,90000328,2021-04-01T16:59:10.144+08:00
rid_329,resident_name_329,S000329A,80000329,2021-04-01T16:59:10.146+08:00
rid_330,resident_name_330,S000330Q,80000330,2021-04-01T16:59:10.148+08:00
rid_331,resident_name_331,F000331D,80000331,2021-04-01T16:59:10.150+08:00
rid_332,resident_name_332,F000332U,90000332,2021-04-01T16:59:10.152+08:00
rid_333,resident_name_333,F000333B,90000333,2021-04-01T16:59:10.155+08:00
rid_334,resident_name_334,S000334K,90000334,2021-04-01T16:59:10.157+08:00
rid_335,resident_name_335,F000335E,90000335,2021-04-01T16:59:10.159+08:00
rid_336,resident_name_336,F000336D,90000336,2021-04-01T16:59:10.161+08:00
rid_337,resident_name_337,S000337L,80000337,2021-04-01T16:59:10.163+08:00
rid_338,resident_name_338,F000338N,80000338,2021-04-01T16:59:10.165+08:00
rid_339,resident_name_339,F000339B,90000339,2021-04-01T16:59:10.167+08:00
rid_340,resident_name_340,S000340A,80000340,2021-04-01T16:59:10.169+08:00
rid_341,resident_name_341,S000341K,80000341,2021-04-01T16:59:10.172+08:00
rid_342,resident_name_342,S000342E,80000342,2021-04-01T16:59:10.174+08:00
rid_343,resident_name_343,S000343A,90000343,2021-04-01T16:59:10.176+08:00
rid_344,resident_name_344,S000344C,80000344,2021-04-01T16:59:10.178+08:00
rid_345,resident_name_345,S000345D,90000345,2021-04-01T16:59:10.180+08:00
rid_346,resident_name_346,F000346C,80000346,2021-04-01T16:59:10.182+08:00
rid_347,resident_name_347,F000347C,90000347,2021-04-01T16:59:10.184+08:00
rid_348,resident_name_348,S000348C,80000348,2021-04-01T16:59:10.186+08:00
